platform_Name,movieId,title,genres,director ,starring
Hoichoi,350,"Tansener Tanpura,Episode: Bilash Khan (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,351," Tansener Tanpura,Episode: Jogyotomo Shishya (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,352,"Tansener Tanpura,Episode: Abarohon (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,353," Tansener Tanpura,Episode: Raag Deepak (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,354," Tansener Tanpura,Episode: Arohon (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,355,"Tansener Tanpura,Episode: Miyan Ki Malhar (2020)",Drama,,"  Roy Angana, Jayati Bhatia, Vikram Chatterjee, Subhasish Mukherjee"
Hoichoi,356," Fish & Chips,Episode: Bhaam Beral (2021)","Comedy, Romance",,"  Apratim Chatterjee, Tapasya Dasgupta, Pratik Kumar Dutta"
Hoichoi,357," Fish & Chips,Episode: Niyom Kanun (2021)","Comedy, Romance",,"  Apratim Chatterjee, Tapasya Dasgupta, Pratik Kumar Dutta"
Hoichoi,358," Fish & Chips,Episode: Washing Machine (2021)","Comedy, Romance",,"  Apratim Chatterjee, Tapasya Dasgupta, Pratik Kumar Dutta"
Hoichoi,359," Fish & Chips,Episode: Golokdhanda (2021)","Comedy, Romance",,"  Apratim Chatterjee, Tapasya Dasgupta, Pratik Kumar Dutta"
Hoichoi,360," Fish & Chips,Episode: Moilar Gari (2021)","Comedy, Romance",,"  Apratim Chatterjee, Tapasya Dasgupta, Pratik Kumar Dutta"
Hoichoi,361,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Bohujuger Opar Hote (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,362,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Kalo Horin Chokh (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,363,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Nai Rawsho Nai (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,364,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Tumi Kon Kanoner Phul? (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,365,"Robindronath Ekhane Kawkhono Khete Aashenni ,Episode: Dekha Pelem Phalgune (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,366,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Tomar Shawnge Praner Khela (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,367,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Hriday Amar Prokash Holo (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,368,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Mayabono Biharini (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,369,"Robindronath Ekhane Kawkhono Khete Aashenni,Episode: Tobu Mone Rekho (2021)","Crime, Thriller",,"  Azmeri Haque Badhon, Anirban Bhattacharya, Rahul Bose, Anirban Chakrabarti"
Hoichoi,370,"Japani Toy,Episode: Khatarnak Darinda (2018)",Comedy,,"  Rajdeep Gupta, Ishaa Saha, Rajat Ganguly, Kaushiki Guha"
Hoichoi,371,"Japani Toy,Episode: Eureka (2018)",Comedy,,"  Rajdeep Gupta, Ishaa Saha, Rajat Ganguly, Kaushiki Guha"
Hoichoi,372,"Japani Toy,Episode: No guilt, no shame (2018)",Comedy,,"  Rajdeep Gupta, Ishaa Saha, Rajat Ganguly, Kaushiki Guha"
Hoichoi,373,"Japani Toy,Episode: Sexy Siren (2018)",Comedy,,"  Rajdeep Gupta, Ishaa Saha, Rajat Ganguly, Kaushiki Guha"
Hoichoi,374,"Japani Toy,Episode: Shashikala Bylane (2018)",Comedy,,"  Rajdeep Gupta, Ishaa Saha, Rajat Ganguly, Kaushiki Guha"
Hoichoi,375,"Taranath Tantrik,Episode: Taranath Tantrik (2019)",Horror,Qaushiq Mukherjee,"Jayant Kripalani, Kaushik Roy, Shweta Chaudhuri, Joyraj Bhattacharya"
Hoichoi,376,"Taranath Tantrik,Episode: Jawrashur (2019)",Horror,Qaushiq Mukherjee,Gautam Moitra
Hoichoi,377," Taranath Tantrik,Episode: Birajbala (2019)",Horror,Qaushiq Mukherjee,
Hoichoi,378,"Taranath Tantrik,Episode: Tarabhoirobi (2019)",Horror,Qaushiq Mukherjee,
Hoichoi,379,"Taranath Tantrik,Episode: Madhsundari Debi (2019)",Horror,Qaushiq Mukherjee,
Hoichoi,380,"Taranath Tantrik,Episode: Bathtob (2019)",Horror,Qaushiq Mukherjee,
Hoichoi,381,"Mismatch,Episode: Toka Tok Toka Tok (2018)",Comedy,,"  Supurna Malakar, Rajdeep Gupta, Rachel White, Mainak Banerjee"
